id	x	y
1	395	1232
2	415	1242
3	433	1253
4	409	1204
5	427	1217
6	446	1226
7	489	1239
8	560	1255
9	720	1270
10	726	1293
11	730	1289
12	794	1280
13	805	1283
14	812	1282
15	821	1283
16	834	1287
17	793	1294
18	856	1296
19	777	1192
20	794	1188
21	801	1185
22	789	1196
23	797	1200
24	805	1200
25	815	1196
26	815	1200
27	847	1186
28	885	1189
29	921	1290
30	921	1280
31	936	1281
32	936	1280
33	942	1287
34	938	1303
35	929	1274
36	932	1271
37	939	1274
38	948	1281
39	953	1269
40	919	1257
41	965	1281
42	961	1291
43	966	1291
44	957	1307
45	990	1270
46	999	1283
47	1011	1267
48	1019	1271
49	1032	1255
50	1034	1268
51	1034	1271
52	1034	1274
53	1042	1285
54	1055	1287
55	1058	1290
56	1057	1311
57	1072	1297
58	1083	1288
59	1049	1272
60	1056	1266
61	1060	1249
62	1073	1244
63	1105	1298
64	1114	1304
65	1137	1271
66	1140	1266
67	1168	1297
68	1169	1302
69	1169	1307
70	1220	1310
71	1292	1258
72	1307	1262
73	1321	1260
74	1332	1258
75	1332	1253
76	1334	1271
77	1322	1272
78	1350	1254
79	1370	1208
80	1385	1203
81	294	1096
82	298	1084
83	325	1102
84	335	1094
85	307	1058
86	324	1056
87	372	1068
88	380	1055
89	336	997
90	299	960
91	272	916
92	284	914
93	290	916
94	289	925
95	303	933
96	320	919
97	339	910
98	286	901
99	263	869
100	434	909
101	442	905
102	460	867
103	511	913
104	523	914
105	510	934
106	520	928
107	537	940
108	508	965
109	523	966
110	536	966
111	541	1050
112	587	1055
113	634	1060
114	625	1072
115	623	1090
116	623	1106
117	651	1105
118	651	1069
119	679	1106
120	676	1145
121	751	1179
122	780	1166
123	720	1055
124	724	1067
125	735	1061
126	740	1053
127	744	1048
128	750	1053
129	746	1057
130	742	1080
131	748	1069
132	755	1063
133	759	1056
134	760	1051
135	768	1052
136	779	1058
137	763	1046
138	773	1045
139	794	1042
140	783	1036
141	777	1027
142	770	1026
143	769	1018
144	758	1027
145	747	1025
