	xKooFuss_d	yKooFuss_d	Formcode	Ra_Di_cm	Breit_cm	Objekt	Kopf_LV95_	Kopf_LV951	Fuss_LV95_	Fuss_LV951	AnzJR_Best	Mark_Best	WK_Best	Splint_Bes	Art_Best	DcEign	DmRek	mindDM	LabNr	Dat	Gte	DG	x	y
20903.00000000000	477.53	159.78	1.00	12.50	9.50	P			2683665.99	1246678.11	0.00		3	1.00	1	1	24.00		657507	-3175	a	20	2683665.99	1246678.11
27002.00000000000	487.42	122.24	1.00	15.00	11.00	P			2683691.70	1246649.01	0.00		3	1.00	1	1	25.00		656273	-3176	a	12	2683691.70	1246649.01
7495.00000000000	507.95	171.83	1.00	2.50	4.00	P			2683687.77	1246702.54	18.00		4	0.00	5	4	0.00						2683687.77	1246702.54
5054.00000000000	494.39	134.00	1.00	10.00	9.00	P			2683692.64	1246662.65	63.00		4	1.00	1	1	19.00		656930	0	u	41	2683692.64	1246662.65
15944.00000000000	502.82	139.89	1.00	8.00	10.50	P			2683697.53	1246671.69	27.00		4	1.00	1	4	21.00						2683697.53	1246671.69
2740.00000000000	496.69	144.93	1.00	14.50	8.00	P			2683689.79	1246673.44	0.00		2?	1.00	1	1	28.00		656048	-2885	b	47	2683689.79	1246673.44
19930.00000000000	491.91	126.41	1.00	8.00	8.50	P			2683693.83	1246654.75	0.00		4	1.00	1	1	14.00		656779	-2753	a	51	2683693.83	1246654.75
14457.00000000000	513.59	109.33	1.00	8.00	3.00	P			2683720.87	1246649.23	19.00	m		0.00	5	4	16.00						2683720.87	1246649.23
27907.00000000000	456.48	167.60	1.00	13.00	7.00	P			2683643.68	1246675.64	65.00			0.00	1	2	0.00	30	657814	-2902	a	4	2683643.68	1246675.64
18782.00000000000	508.35	102.08	1.00	9.00	6.00	P			2683719.45	1246640.40	15.00	m	4	0.00	5	4	9.00						2683719.45	1246640.40
26781.00000000000	469.39	167.44	1.00	10.00	7.50	P			2683655.28	1246681.30	48.00		2	1.00	1	3	20.00		657572	-2729	b	52	2683655.28	1246681.30
18399.00000000000	481.21	163.14	1.00	12.50	9.00	P			2683667.78	1246682.77	45.00		5	1.00	1	3	26.00		657927	-3175	b	53	2683667.78	1246682.77
1958.00000000000	488.03	157.07	1.00	12.00	10.00	P			2683676.60	1246680.41	0.00		5	1.00	1	1	22.00		656637	-2885	a	4	2683676.60	1246680.41
4840.00000000000	474.81	175.12	1.00	10.00	4.00	P			2683656.68	1246690.60	47.00		4	0.00	7	3	0.00	24					2683656.68	1246690.60
16744.00000000000	474.32	152.42	1.00	10.00	10.00	P			2683666.44	1246670.09	23.00		5	1.00	1	4	18.00						2683666.44	1246670.09
23074.00000000000	490.84	131.62	1.00	6.00	6.00	P			2683690.54	1246658.93	30.00		5	0.00	7	4	0.00	16					2683690.54	1246658.93
28028.00000000000	467.74	165.14	1.00	11.00	8.00	P			2683654.84	1246678.50	83.00		3	1.00	1	1	22.00		657555	-2885	a	4	2683654.84	1246678.50
18670.00000000000	509.72	118.66	1.00	10.00	1.00	P			2683713.23	1246655.83	59.00		4	1.00	1	1	20.00		657140	-2753	a	51	2683713.23	1246655.83
18752.00000000000	509.87	110.96	1.00	11.50	9.50	P			2683716.82	1246649.02	29.00		5	0.00	16	4	0.00	24					2683716.81	1246649.02
7221.00000000000	505.43	167.25	1.00	8.00	8.50	P			2683687.57	1246697.32	45.00		4	1.00	1	3	19.00		655956	-3233	b	1	2683687.57	1246697.32
25727.00000000000	483.63	140.59	1.00	10.00	12.00	P			2683680.07	1246663.70	0.00			1.00	1	1	24.00		657641	-2885	a	4	2683680.06	1246663.70
13014.00000000000	492.31	171.33	1.00	12.00	12.00	P			2683674.01	1246695.07	20.00			1.00	1	4	23.00		658177	0	u		2683674.01	1246695.07
14243.00000000000	513.05	107.20	1.00	10.50	11.00	P			2683721.35	1246647.08	41.00	m	4	1.00	1	3	18.00		658028	0	u		2683721.35	1246647.08
27506.00000000000	454.38	174.88	1.00	9.50	6.50	P			2683638.54	1246681.20	46.00	m	4	1.00	1	3	18.00		657805	0	u		2683638.54	1246681.20
10163.00000000000	504.28	143.85	1.00	8.50	11.00	P			2683697.06	1246675.89	28.00		4	1.00	1	4	17.00						2683697.06	1246675.89
5065.00000000000	494.14	135.32	1.00	11.00	8.00	P			2683691.83	1246663.72	0.00		5	1.00	1	1	27.00		656198	-2754	a	51	2683691.83	1246663.72
28504.00000000000	473.44	133.03	1.00	10.00	4.00	P			2683674.36	1246652.37	14.00			1.00	1	4	23.00						2683674.36	1246652.37
23030.00000000000	490.65	128.39	1.00	10.00	8.00	P			2683691.82	1246655.95	0.00		4	1.00	1	1	24.00		656288	-2754	a	51	2683691.82	1246655.95
9937.00000000000	499.91	131.86	1.00	6.00	7.00	P			2683698.53	1246663.21	22.00		2?	1.00	1	4	14.00						2683698.53	1246663.22
16636.00000000000	473.76	169.64	1.00	10.00	7.00	P			2683658.20	1246685.22	45.00			1.00	1	3	19.00		657269	-3176	b		2683658.20	1246685.23
9644.00000000000	500.63	147.63	1.00	15.50	10.00	P			2683692.09	1246677.63	51.00		5	1.00	1	1	31.00		656025	-3234	a	9	2683692.10	1246677.63
14686.00000000000	482.68	169.08	1.00	15.00	11.50	P			2683666.42	1246688.73	0.00		4	1.00	1	1	30.00		656009	-2729	a	52	2683666.42	1246688.73
3497.00000000000	505.21	157.42	1.00	10.50	11.00	P			2683691.79	1246688.43	0.00		5	1.00	1	1	25.00		656180	-3236	a	1	2683691.79	1246688.43
4374.00000000000	495.65	123.48	1.00	11.00	5.00	P			2683698.49	1246653.81	0.00		4	1.00	1	1	24.00		656262	-2732	a	52	2683698.50	1246653.81
4373.00000000000	495.50	123.43	1.00	9.50	6.50	P			2683698.38	1246653.70	53.00		3	1.00	1	1	20.00		656327	-3175	a	12	2683698.38	1246653.70
